id,card_id,name,rarity,type,element,sub_type,image_path,level,attack,health,description,expansion,card_number,skills,passive_skill,created_at,updated_at,spektra_cost,duplicate_group,effect_type,effect_value,effect_value_2,effect_target
1,fire-witch-trainee,Witch Trainee,Common,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Witch Trainee.webp,1,2,6,Avatar - Kujana Witch,Fire and Water,GEN-001,"[{""id"":""doomflare"",""name"":""Doomflare"",""damage"":2,""conditions"":[{""type"":""opponent_tribe"",""value"":[""borah"",""kobar""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Borah or Kobar type Avatar"",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:51.395Z""",,,GEN-001,,,,
2,fire-shaman-kujana,Shaman,Common,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Shaman B.webp,1,1,6,Avatar - Kujana Witch,Fire and Water,GEN-002,"[{""id"":""spread-flame"",""name"":""Spread Flame"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.610Z""",,,GEN-002,,,,
3,fire-repo-girl,Repo Girl,Common,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Repo Girl.webp,1,2,5,Avatar - Kujana Human,Fire and Water,GEN-003,"[{""id"":""kick"",""name"":""Kick"",""damage"":2,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:53.662Z""",,,GEN-003,,,,
4,fire-thug,Thug,Common,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Thug A.webp,1,1,5,Avatar - Kuhaka Human,Fire and Water,GEN-004,"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]",,"""2026-01-09T06:52:53.711Z""",,,GEN-004,,,,
5,fire-shaman-kuhaka,Shaman,Common,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Shaman A.webp,1,3,6,Avatar - Kuhaka Witch,Fire and Water,GEN-005,"[{""id"":""concentrated-flame"",""name"":""Concentrated Flame"",""damage"":3,""conditions"":[],""description"":""Direct flame attack"",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.759Z""",,,GEN-005,,,,
6,fire-goldie,Goldie,Common,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Goldie.webp,1,1,8,Avatar - Kuhaka Human,Fire and Water,GEN-006,"[{""id"":""body-slam"",""name"":""Body Slam"",""damage"":1,""conditions"":[],""description"":""Physical attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:53.804Z""",,,GEN-006,,,,
7,fire-kobar-trainee-a,Kobar Trainee A,Common,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Kobar Trainee A.webp,1,4,6,Avatar - Kobar Fighter,Fire and Water,GEN-007,"[{""id"":""reckless-fire"",""name"":""Reckless Fire"",""damage"":4,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage to self after attack."",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.851Z""",,,GEN-007,,,,
8,fire-kobar-trainee-b,Kobar Trainee B,Common,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Kobar Trainee B.webp,1,2,5,Avatar - Kobar Fighter,Fire and Water,GEN-008,"[{""id"":""ash-flick"",""name"":""Ash Flick"",""damage"":2,""conditions"":[],""description"":""Basic fire attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:53.898Z""",,,GEN-008,,,,
9,fire-kobar-trainee-c,Kobar Trainee C,Common,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Kobar Trainee C.webp,1,2,5,Avatar - Kobar Fighter,Fire and Water,GEN-009,"[{""id"":""wildbone-blade"",""name"":""Wildbone Blade"",""damage"":2,""conditions"":[{""type"":""opponent_element"",""value"":[""air""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Air Element Avatar"",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.946Z""",,,GEN-009,,,,
10,fire-borah-trainee-a,Borah Trainee A,Common,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Avatars Common-Uncommon-Rare_Ava - Borah Trainee A.webp,1,1,5,Avatar - Borah Fighter,Fire and Water,GEN-010,"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]",,"""2026-01-09T06:52:53.993Z""",,,GEN-010,,,,
